State,House,S.No.,MP Name,Constituency,District,Total Entitlement (in Crore),"Total GOI Release 
 (in Crore)",Total Release Pending (in Crore),"UnSanction Balance 
(in Crore)","UnSpent Balance
(in Crore)","Last Inst. 
No.",Last Inst. Yr.,"Last Release 
Date","Last Release
Amount
(in Crore)",Column16,Pending Inst. No & Year.,Reasons for not Release
Uttar Pradesh,null,70,Shri Virendra Singh,BALLIA,BALLIA,17,7,10,0.54,1.97,1,2021-2022,20-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,71,SHRI. Bhola Singh,BULANDSHAHR(SC),BULANDSHAHR,17,9.5,7.5,0.02,0.02,1,2022-2023,12-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,72,SHRI. Ram Shiromani,SHRAWASTI,BALRAMPUR,17,5,12,0.57,1.59,2,2019-2020,27-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,73,SHRI. Shyam Yadav Singh,JAUNPUR,JAUNPUR,17,7,10,0.18,2.56,1,2022-2023,24-03-2023,2.5,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,74,Smt Niranjan Jyoti,FATEHPUR,FATEHPUR,17,9.5,7.5,0.03,1.68,1,2022-2023,30-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,75,Smt. Anupriya Patel,MIRZAPUR,MIRZAPUR,17,7,10,0.6,2.14,1,2021-2022,22-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,76,Smt. DIMPLE YADAV,MAINPURI,MAINPURI,7.5,2.5,5,0.7,1.42,2,2022-2023,14-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,77,Smt. Hema Malini,MATHURA,MATHURA,17,7,10,-9.78,-1.86,1,2021-2022,17-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,78,Smt. Keshari Devi Patel,PHULPUR,ALLAHABAD,17,7,10,0.34,2.26,1,2021-2022,19-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttar Pradesh,null,79,Smt. Maneka Sanjay Gandhi,SULTANPUR,SULTANPUR,17,9.5,7.5,-0.17,2.64,1,2022-2023,23-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Utilisation Certificate Pending."
Uttar Pradesh,null,80,Smt. Rekha Arun Verma,DHAURAHRA,KHERI,17,12,5,0.13,0.5,2,2022-2023,27-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,81,Smt. Sangeeta Azad,LALGANJ (SC),AZAMGARH,17,12,5,0.19,1.19,2,2022-2023,27-03-2023,2.5,null,1 / 2023-2024,
Uttar Pradesh,null,82,Smt. Smriti Irani,AMETHI,AMETHI,17,7,10,0.28,1.94,1,2021-2022,24-03-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Uttar Pradesh,null,83,Smt. Sonia Gandhi,RAE BARELI,RAE BARELI,17,7,10,0.52,2.19,1,2021-2022,30-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Uttarakhand,8,1,Dr. Ramesh Pokhriyal Nishank,HARDWAR,HARIDWAR,17,7,10,-0.32,1.96,1,2021-2022,08-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Uttarakhand,null,2,Shri Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,NAINITAL,17,7,10,-0.08,0.02,1,2021-2022,13-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Uttarakhand,null,3,Shri Ajay Tamta,ALMORA(SC),ALMORA,17,9.5,7.5,0.01,1.74,1,2022-2023,31-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Uttarakhand,null,4,SHRI. Tirath Singh Rawat,GARHWAL,PAURI GARHWAL,17,7,10,0.93,2.89,1,2021-2022,22-12-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Uttarakhand,null,5,Smt. Mala Rajya Laxmi Shah,TEHRI GARHWAL,TEHRI GARHWAL,17,9.5,7.5,0.79,1.43,1,2022-2023,26-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,8,1,Dr. (Smt.) Kakoli Ghosh Dastidar,BARASAT,NORTH TWENTY FOUR PARGANAS,17,9.5,7.5,0.01,4.13,1,2022-2023,25-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,2,Dr. Jayanta Kumar Roy,JALPAIGURI(SC),JALPAIGURI,17,5,12,0.9,2.79,2,2019-2020,27-02-2020,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,3,Dr. Subhas Sarkar,BANKURA,BANKURA,17,5,12,0.1,2.42,2,2019-2020,30-05-2022,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,4,Dr. Sukanta Majumdar,BALURGHAT,SOUTH DINAJPUR,17,9.5,7.5,0.98,2.64,1,2022-2023,29-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,5,Ms Mahua Moitra,KRISHNANAGAR,NADIA,17,12,5,-0.62,1.76,2,2022-2023,07-11-2022,2.5,null,1 / 2023-2024,
West Bengal,null,6,Ms Mimi Chakraborty,JADAVPUR,SOUTH TWENTY FOUR PARGANAS,17,9.5,7.5,-2.97,0.66,1,2022-2023,27-07-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
West Bengal,null,7,Ms. Debasree Chaudhuri,RAIGANJ,NORTH DINAJPUR,17,12,5,0.05,0.08,2,2022-2023,31-01-2023,2.5,null,1 / 2023-2024,
West Bengal,null,8,Prof. Saugata Roy,DUM DUM,NORTH TWENTY FOUR PARGANAS,17,9.5,7.5,0.41,2.42,1,2022-2023,29-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,9,SH. Saumitra khan,BISHNUPUR(SC),BANKURA,17,7,10,0.13,0.83,1,2021-2022,21-03-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
West Bengal,null,10,Shri Abhishek Banerjee,DIAMOND HARBOUR,SOUTH TWENTY FOUR PARGANAS,17,9.5,7.5,-5.28,1.2,1,2022-2023,29-08-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
West Bengal,null,11,Shri Abu Hasem Khan Choudhury,MALDAHA DAKSHIN,MALDA,24.5,9.5,15,0.97,2.74,1,2022-2023,07-11-2022,2.5,null,"1 / 2023-2024,1 / 2017-2018,1 / 2018-2019,2 / 2022-2023",
West Bengal,null,12,Shri Abu Taher Khan,MURSHIDABAD,MURSHIDABAD,29.5,7,22.5,0.81,2.91,1,2021-2022,11-11-2022,2,null,"1 / 2023-2024,1 / 2017-2018,1 / 2018-2019,1 / 2016-2017,1 / 2022-2023,2 / 2022-2023",
West Bengal,null,13,Shri Adhir Ranjan Chowdhury,BAHARAMPUR,MURSHIDABAD,29.5,7,22.5,0.63,2.98,1,2021-2022,07-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,1 / 2017-2018,1 / 2018-2019,2 / 2016-2017,2 / 2022-2023",
West Bengal,null,14,Shri Arjun Singh,BARRACKPUR,NORTH TWENTY FOUR PARGANAS,17,7,10,-1.12,2.92,1,2021-2022,07-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
West Bengal,null,15,Shri Choudhury Mohan Jatua,MATHURAPUR(SC),SOUTH TWENTY FOUR PARGANAS,17,9.5,7.5,-1.96,1.14,1,2022-2023,27-07-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
West Bengal,null,16,Shri Deepak (Dev) Adhikari,GHATAL,PASCHIMI MEDINIPUR,17,7,10,-0.38,0.83,1,2021-2022,08-09-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
West Bengal,null,17,Shri Dibyendu Adhikari,TAMLUK,PURBA MEDINIPUR,17,7,10,0.39,1.34,1,2021-2022,15-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,18,Shri Dilip Ghosh,MEDINIPUR,PASCHIMI MEDINIPUR,17,7,10,0.03,0.74,1,2021-2022,15-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,19,Shri John Barla,ALIPURDUARS(ST),ALIPURDUAR,17,7,10,0.66,1.5,1,2021-2022,28-01-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,20,Shri Jyotirmay Singh Mahato,PURULIA,PURULIA,17,5,12,0.11,2.98,2,2019-2020,16-08-2022,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,21,Shri Kalyan Banerjee,SREERAMPUR,HOOGHLY,17,9.5,7.5,0.02,2.98,1,2022-2023,21-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,22,Shri Khagen Murmu,MALDAHA UTTAR,MALDA,17,7,10,0.4,2.52,1,2021-2022,14-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,23,Shri Khalilur Rahaman,JANGIPUR,MURSHIDABAD,27,7,20,-0.04,1.66,1,2021-2022,11-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,1 / 2017-2018,1 / 2018-2019,2 / 2022-2023",
West Bengal,null,24,Shri Kunar Hembram,JHARGRAM(ST),Jhargram,17,9.5,7.5,0.6,0.63,1,2022-2023,28-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,25,Shri Nisith Pramanik,COOCHBEHAR(SC),COOCH BEHAR,17,9.5,7.5,0.72,2.69,1,2022-2023,20-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,26,Shri Prasun Banerjee,HOWRAH,HOWRAH,17,7,10,0,0.87,1,2021-2022,09-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,27,Shri Raju Bista,DARJEELING,DARJEELING,17,7,10,0.32,0.89,1,2021-2022,22-12-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
West Bengal,null,28,Shri S.S. Ahluwalia,BARDHAMAN-DURGAPUR,PURBA BARDHAMAN,17,2.5,14.5,0.2,2.74,1,2019-2020,06-11-2019,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2019-2020,2 / 2022-2023",Eligible MPR not Received.
West Bengal,null,29,Shri Shantanu Thakur,BANGAON(SC),NORTH TWENTY FOUR PARGANAS,17,7,10,0.49,2.94,1,2021-2022,15-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,30,Shri Shatrughan Sinha,ASANSOL,PASCHIM BARDHAMAN,20,2.5,17.5,0.83,2.22,1,2022-2023,20-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,31,Shri Sisir Kumar Adhikari,KANTHI,PURBA MEDINIPUR,17,7,10,0.37,0.97,1,2021-2022,21-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,32,Shri Sudip Bandyopadhyay,KOLKATA UTTAR,KOLKATA,17,7,10,-3.33,2.8,1,2021-2022,30-03-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
West Bengal,null,33,Shri Sunil Kumar Mondal,BARDHAMAN PURBA(SC),PURBA BARDHAMAN,17,7,10,-0.21,2.28,1,2021-2022,09-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,34,SHRI. Asit Kumar Mal,BOLPUR(SC),BIRBHUM,17,9.5,7.5,0.67,1.05,1,2022-2023,02-08-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,35,SHRI. Jagannath Sarkar,RANAGHAT(SC),NADIA,17,9.5,7.5,0.44,2.97,1,2022-2023,21-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,36,Smt Nusrat Jahan Ruhi,BASIRHAT,NORTH TWENTY FOUR PARGANAS,17,9.5,7.5,0.79,2.16,1,2022-2023,14-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,37,Smt. Aparupa Poddar,ARAMBAG(SC),HOOGHLY,17,9.5,7.5,0.03,3,1,2022-2023,21-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,38,Smt. Locket Chatterjee,HOOGHLY,HOOGHLY,17,7,10,0.11,2.94,1,2021-2022,27-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
West Bengal,null,39,Smt. Mala Roy,KOLKATA DAKSHIN,KOLKATA,17,9.5,7.5,-0.27,2.83,1,2022-2023,27-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,40,Smt. Pratima Mondal,JOYNAGAR(SC),SOUTH TWENTY FOUR PARGANAS,17,9.5,7.5,-2.93,1.65,1,2022-2023,27-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,41,Smt. Sajda Ahmed,ULUBERIA,HOWRAH,17,9.5,7.5,-0.09,0.44,1,2022-2023,27-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
West Bengal,null,42,Smt. Satabdi Roy (Banerjee),BIRBHUM,BIRBHUM,17,9.5,7.5,0.25,0.84,1,2022-2023,28-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
